position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11
46,335.32402234636874,133.30353817504655,242.2057292950639,393.09895833029015,474.7000791832981,156.10762890308374,212.29780331991668,304.8239686181128,508.87866108786613,362.9623430962343,226.39402985074628,200.43582089552243,332.6820834187725,391.0735457468844,524.502310234208,155.55485524142418,189.30220045918568,265.1876290866423,508.63895439191907,213.5085621595856,501.90195445110913,170.38309853888882,408.41413654755723,400.0272454807812
47,335.24738675958184,134.44076655052262,240.13588399376744,393.7163588367292,474.32834150989794,156.3153125222196,215.0939749496304,299.14849664734317,509.41793103448265,361.39862068965516,226.39344262295086,200.46050670640838,331.8573109208495,392.52478776665583,524.2288897076976,155.95360983320404,187.89608983615685,265.18019088231284,510.12892158190385,218.28638854797524,501.35632013727525,171.00741750941162,407.0460860040415,399.8543662953979
48,335.4835680751174,134.61189358372457,236.4422827713633,394.27885862483595,473.7670599948119,156.88043225832303,216.9625913394093,294.02899598759114,510.15294117647056,359.3359477124182,226.7256371814093,200.94602698650678,330.8111578043854,393.2304025476132,524.1945839424009,155.82069365992496,186.35934269829517,265.2189307199663,511.4600897552712,223.6762625172933,501.32585016225806,171.66523897010276,406.17794730231407,400.21077061151044
49,334.8152671755725,135.6503816793893,232.11351351773948,393.8499999999398,473.95854115357963,156.5861952124812,219.78276201111973,286.89008606075237,511.0140056022409,355.78431372549034,227.734664764622,202.57346647646224,329.92963471977583,393.32179821556895,524.0710870548676,155.67862725153142,186.16999076963955,264.91097634854185,512.2618370574037,228.7645318324387,501.14128597518663,172.04885899560074,405.5054258230661,399.8599531791616
50,334.7408450704225,137.65070422535211,229.92627346587872,393.5630026809106,474.338058357678,156.0782291547507,223.77288408251857,280.1730479354364,511.0775862068962,352.5804597701153,230.96506550222043,206.302765647998,328.53000469365026,393.4292176189935,523.8983905715783,155.8252089934325,185.44589552263284,263.8676962977748,512.3642403916066,232.31308479759858,501.0031654231368,172.34564943945222,405.334735228116,399.8833668945568
51,334.2704485488127,139.58311345646442,229.38969617874457,393.43196829592534,475.0478270990226,155.5245758268641,228.08595216907935,275.33571039661024,510.2118518518556,347.6962962963147,234.16620879829895,208.9258242096151,326.90930008429285,393.11744156394997,523.644280479663,156.0484393544314,186.1879874476712,262.59973123165105,512.1915535348993,236.4916541755921,500.8290966000808,172.47339086575906,405.7991228743578,400.1619860413295
52,334.501849568434,141.84710234278668,227.6134020740176,393.2023195876553,476.3852513556907,154.44932173956468,231.8623894064238,271.4661815876857,509.49497847938864,344.88809182289106,237.86011092628934,210.9307484665993,325.1873523555752,392.74590152766183,523.3509938537619,156.83132926096232,185.57701893977372,261.8947739921236,511.91219387836,240.99943433660545,500.4183021802366,172.77699694982962,405.94966434326307,400.08096211785784
53,334.62893815635937,142.9568261376896,225.69209809830033,393.27384196187904,477.7214249679975,153.00677258743357,236.83614501748264,267.86351878146326,510.28637060229585,340.79326188216623,242.6002746291096,213.64976303694738,323.1421744369144,392.1553166073539,523.3700633792987,156.68639690334723,184.28926624619163,261.9935541363749,511.2857146092402,244.74448844097182,500.1462119180203,172.36847685844654,402.1925372994854,395.95970149140487
54,334.42922899884917,143.53394706559263,226.0219478972724,393.00411522632163,479.28044205424186,151.7406557529125,241.74889625114682,265.98439928331834,511.3201970590392,338.52052548440173,246.1359030959289,214.58713426553052,321.47261904481593,391.6369047631692,523.2047738727241,156.43282158247808,182.6566435454971,261.81242903981547,509.8538545043784,246.85470083844947,500.4265301258872,173.17105715760331,405.4614003153946,398.11490124993827
55,335.2102908277405,143.80089485458612,225.3906911603312,392.4541607899736,482.5108106104598,150.19647090399602,246.87896510887748,263.4737833322984,512.653846206448,337.07051291238895,250.93380830043,214.7555013864204,319.332530111231,391.20120481927705,523.1814588575652,156.11921909121642,181.41873407165662,261.8250690343911,507.35559409199095,251.0424569565287,501.9724963427869,174.10653838066492,406.79838697966704,399.21774192035303
56,336.3036707452725,144.16796440489432,225.96612477532258,392.1355013543267,486.0845357400759,148.57780616307264,252.22491049339507,259.94881284904613,513.3438486382212,336.78391177350835,257.2868059713834,214.3554541533199,317.9137302706162,391.484811666076,523.2327580050991,156.07423473744146,180.09749312445567,262.9512534817926,504.18809887907736,256.2952170741339,503.07534080946806,174.7947299242129,405.1433961544876,398.86415093290606
57,338.76406926406935,143.58982683982686,225.9932159224336,392.10176390726645,488.39377777893617,147.42187440908697,256.5605013332504,257.89091281308134,512.9019294032806,335.71543432991865,263.2791633649249,215.25672868851515,316.823019840756,391.71658415895666,523.1056642904199,155.87365749298988,179.65541491121854,263.52461322068285,499.7951006392038,261.72605726697856,504.45239054108805,175.46612182114654,404.0968342198914,398.8715083737426
58,341.92592592592604,142.77880658436212,226.34308543170673,392.0731382948075,490.0603204802967,146.89425273630883,263.5407955052565,256.03838172526457,512.8993512228922,335.44480620287607,272.26382320400035,216.784554068822,315.2984694716196,391.23214285658133,523.0736156191965,155.1004213286802,179.42535211268734,264.3126760563372,497.24887937677255,266.9955184824302,504.93323384738005,175.7251462728888,402.82465276732,398.1458333319285
59,345.9065040650407,141.21747967479675,226.34308572531742,392.073138290312,490.26134835146524,146.88563677065486,271.6386082296773,254.72468567347144,513.225044019233,335.4643496222916,280.5823808727032,218.79545420476737,314.806804533158,389.96111785156717,523.3212736134291,154.6640511525808,178.98842257597713,265.40231548480483,495.71507539217765,271.78879899205134,504.91942873791146,175.72597661043858,401.7307692114549,397.7612179457418
60,350.40858018386115,139.98774259448416,226.34713012676724,392.04005339869184,490.67142402806167,146.75298497131638,280.1689530932106,252.8307538808857,513.6302772134261,335.86985557994166,286.6452534237359,219.12405684840763,314.7086904817947,389.33904527188065,523.6375793774404,153.62374879069432,178.13,264.6514285714286,492.99891607338236,279.9169575081913,505.3474840521892,175.93801038263996,400.21383642502815,397.73742137531883
61,354.0437881873727,138.81466395112014,226.43315570325058,391.98663101582406,491.36846354057036,146.7732708691449,287.1236349245571,250.6487384370209,513.8941241029154,336.16667105041665,291.3714657438947,218.05926801289647,314.30987669552945,389.4407407214277,523.8343926981098,152.9706216839528,177.84861717612807,263.72634643377,488.9905172704923,287.62143489627056,506.40024466591086,176.3578150542534,398.0934843799197,396.93059489424223
62,357.931650893796,137.86225026288116,226.4331561961811,391.9866310265232,491.2306262170909,146.71018330560258,295.19269532570695,250.02993215064166,513.8669870972619,336.00540601955885,297.3061945176186,216.5599942802435,313.9154592230767,389.512077250472,523.0336665229235,154.94140949908336,178.094476744186,262.60174418604646,485.5379332839264,293.8761976178546,507.4317405205372,177.59564063571887,395.71471467337005,396.41591590875703
